,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold,price,high,low,next_10_high,next_10_low,next_50_high,next_50_low,next_100_high,next_100_low
2018-01-14 15:05:00+00:00,13439.524347103992,13438.393771689001,30.177836751326048,47.987197316110965,-12.531738805999339,-1.0761900338144312,-11.455548772184908,31.999087410460533,35.68233365944372,1,0,0,0,0,0,13379.0,13430.0,13379.0,13287.0,13251.0,13152.0,13113.0,13172.0,13145.0
2018-01-14 15:06:00+00:00,13438.704347103992,13437.783771689,30.008467246579706,46.46751090453969,-16.272405544015783,-4.115433135854701,-12.156972408161081,27.22478185490498,31.307123124746777,1,0,0,0,0,0,13378.0,13389.0,13371.0,13252.0,13223.0,13130.0,13105.0,13186.0,13167.0
2018-01-14 15:07:00+00:00,13437.644347103993,13437.113771689,25.798405837002882,44.385582389720106,-21.171532982129065,-7.526653105109574,-13.644879877019491,20.95519399776216,26.726354421043084,1,0,0,0,0,0,13351.0,13378.4285198,13351.0,13283.0,13228.0,13137.0,13105.0,13206.0,13178.0
2018-01-14 15:08:00+00:00,13435.744347103993,13436.023771689,19.726999927748956,41.83151704194215,-29.156074046382855,-11.85253729336423,-17.303536753018626,16.93693085256644,21.70563556841172,0,0,0,0,0,0,13296.0,13351.0,13251.0,13237.0,13200.0,13143.0,13117.0,13213.0,13197.0
2018-01-14 15:09:00+00:00,13433.184347103992,13434.723771689001,17.986462217978186,39.17224310273706,-36.754719335511254,-16.832973701793634,-19.92174563371762,12.247262916546077,16.713129255625418,0,0,0,0,0,0,13275.0,13287.0,13262.0,13238.0,13204.0,13123.0,13070.0,13225.0,13204.0
2018-01-14 15:10:00+00:00,13431.164347103993,13433.513771689,22.21015143311601,36.765660487053744,-41.33195174909633,-21.732769311254174,-19.59918243784216,10.539188382384586,13.241127383832895,0,0,0,0,0,0,13287.0,13300.0,13270.0,13250.0,13208.0,13080.0,13022.0,13215.0,13209.0
2018-01-14 15:11:00+00:00,13429.264347103992,13432.573771689002,23.273985129197797,34.56817734286961,-44.207766868012186,-26.227768822605775,-17.97999804540641,12.725287922806533,11.83724640724626,0,0,0,1,0,0,13290.0,13300.0,13287.0,13278.0,13244.0,13066.0,13031.0,13275.0,13215.0
2018-01-14 15:12:00+00:00,13427.684347103992,13431.773771689,25.469319032454873,32.661805779787805,-45.47847367778377,-30.077909793641375,-15.400563884142393,14.46898540179813,12.577820568996943,0,0,0,1,0,0,13296.0,13300.0,13291.0,13253.0,13208.0,13059.0,13029.0,13265.0,13235.0
2018-01-14 15:13:00+00:00,13427.024347103992,13431.223771689001,34.24879224927146,31.55234190954941,-43.881694412759316,-32.83866671746496,-11.043027695294356,20.70136180077992,15.965211708462055,0,0,0,0,0,0,13322.0,13322.0,13296.0,13212.0,13174.0,13040.0,12974.0,13261.0,13257.0
2018-01-14 15:14:00+00:00,13425.664347103993,13430.473771689001,29.253208390407853,30.179865913717844,-44.922603029473976,-35.255453979866765,-9.667149049607211,22.909154008572127,19.35983373705059,0,0,0,0,0,0,13287.0,13325.0,13287.0,13195.0,13137.0,12984.0,12946.0,13280.0,13260.0
